phase,rps,offeredRPS,throughput,dropFraction,avgTTFT,avgITL,avgRespTime,avgWaitTime,concurrency,saturation,reads,empty
curve,0.7594,0.0,0.7594,,65.85113,11.672269,6030.3804,0.0,4.57947087576,,1,False
curve,1.7719,0.0,1.7719,,68.816025,13.154719,6790.8774,0.0,12.03275566506,,1,False
curve,2.7844,0.0,2.7844,,72.63666,15.065033,7770.8687,0.0,21.637206808280002,,1,False
curve,3.7969,0.0,3.7969,,77.745964,17.619688,9081.406,0.0,34.4811904414,,1,False
curve,4.8094,0.0,4.8094,,84.928215,21.210812,10923.653,0.0,52.536216738200004,,1,False
curve,5.8219,0.0,5.8219,,95.76599,26.6297,13703.543,0.0,79.7806569917,,1,False
curve,6.8344,0.0,6.8344,,114.00276,35.74809,18381.275,0.0,125.62498586,,1,False
curve,7.8469,0.0,7.7934756,,147.7023,52.566776,27009.324,0.0,210.49650756649442,,1,False
curve,8.8594,0.0,8.0515175,,161.97243,59.639755,30637.887,0.0,246.68148334352247,overloaded,1,False
curve,9.8719,0.0,8.08078,,163.90514,60.601303,31131.172,0.0,251.56415207416003,overloaded,1,False
