phase,rps,offeredRPS,throughput,dropFraction,avgTTFT,avgITL,avgRespTime,avgWaitTime,concurrency,saturation,reads,empty
curve,0.7594,0.0,0.68668425,,39.355793,13.727627,7105.7266,21.873785,4.87939054102605,,1,False
curve,1.7719,0.0,1.6034029,,41.007164,14.692061,6979.9683,22.819265,11.19170141412807,,1,False
curve,2.7844,0.0,2.5900815,,43.372566,16.08262,7694.4854,23.771212,19.9293442865601,,1,False
curve,3.7969,0.0,3.4835117,,45.10644,17.490644,8262.534,24.109974,28.782633860647802,,1,False
curve,4.8094,0.0,4.416853,,47.968212,19.321339,9044.588,25.039648,39.94861564156399,,1,False
curve,5.8219,0.0,5.3135123,,51.6183,21.585495,10041.87,26.44179,53.35759976000101,,1,False
curve,6.8344,0.0,6.130592,,56.137325,24.61745,11442.772,27.733608,70.150966481024,,1,False
curve,7.8469,0.0,7.050562,,62.368435,28.805891,13283.461,29.911903,93.655865355082,,1,False
curve,8.8594,0.0,7.8309903,,453.09668,33.751137,15639.371,414.6405,122.4717625991013,overloaded,1,False
curve,9.8719,0.0,8.176814,,5278.9946,36.99841,21191.617,5236.172,173.279910568238,overloaded,1,False
